ma20_angle,ma60_angle,ma_dispersion,ma_converging,ma_diverging,ma_bull_strength,hh_ratio,hl_ratio,trend_up_strengthen,trend_slope,trend_angle,pct_30,pct_60,adx,vol_ma5_ratio,vol_ma20_ratio,vol_trend,price_vol_match,vol_surge,channel_width,break_20high,break_60high,pullback_support,score,rating,reasons,code,name,price,pct_change,vol,amount
-11.89,24.88,9.35,True,False,2,0.5,0.67,False,0,0,-12.42,2.58,41.39,0.93,0.73,True,False,False,29.58,False,False,False,3,D 趋势向下,"['MA60角度>5度', 'ADX>40(强趋势)', '30日下跌>10%', '均线收敛(关注变盘)']",sz001339,智微智能,85.39,1.78,90172,1.0
-12.39,47.0,12.85,False,False,2,0.56,0.67,False,0,0,-10.93,47.05,42.35,0.89,0.91,False,False,False,39.82,False,False,True,3,D 趋势向下,"['MA60角度>5度', 'ADX>40(强趋势)', '回踩均线支撑', '30日下跌>10%']",sh600183,生益科技,143.21,1.04,673037,1.0
-16.85,15.0,-6.93,True,False,0,0.39,0.44,False,0,0,-37.05,-12.57,34.6,0.93,0.76,True,True,False,27.36,False,False,False,3,D 趋势向下,"['MA60角度>5度', 'ADX>30(有趋势)', '30日下跌>10%', '均线收敛(关注变盘)']",sz002965,祥鑫科技,33.11,4.51,141697,1.0
-13.28,12.95,5.45,False,True,2,0.72,0.67,True,0,0,-21.03,-18.49,41.06,1.11,0.71,True,True,False,15.09,False,False,False,9,B+ 趋势偏多,"['MA60角度>5度', '均线发散(趋势加速)', '高低点持续抬升', 'ADX>40(强趋势)', '30日下跌>10%']",sh603031,安孚科技,41.71,3.5,115073,1.0
2.71,-10.48,2.06,False,True,5,0.5,0.61,False,0,0,19.75,-7.0,51.84,1.69,1.65,True,True,True,14.71,False,False,False,13,A+ 趋势强,"['MA20微向上', '均线发散(趋势加速)', '均线完美多头', 'ADX>50(极强趋势)', '趋势中放量', '30日涨幅10-50%(健康)']",sh603496,恒为科技,27.22,5.46,394588,1.0
6.07,-3.9,-1.21,True,False,3,0.44,0.39,False,0,0,10.48,3.55,50.72,1.45,1.07,True,True,False,9.95,False,False,True,10,A 趋势良好,"['MA20角度>5度(趋势向上)', 'ADX>50(极强趋势)', '回踩均线支撑', '30日涨幅10-50%(健康)', '均线收敛(关注变盘)']",sh600660,福耀玻璃,56.27,2.55,143794,1.0
-12.54,28.8,24.15,True,False,4,0.72,0.72,True,0,0,-3.31,21.24,49.72,0.76,1.04,False,False,False,43.66,False,False,True,11,A 趋势良好,"['MA60角度>5度', '高低点持续抬升', 'ADX>40(强趋势)', '回踩均线支撑', '均线收敛(关注变盘)']",sz002428,云南锗业,101.59,1.38,781174,1.0
-16.97,-0.98,7.98,False,True,2,0.56,0.67,False,0,0,-23.32,-38.7,38.59,1.39,1.79,False,False,True,29.71,False,False,False,1,D 趋势向下,"['均线发散(趋势加速)', 'ADX>30(有趋势)', '30日下跌>10%']",sh603052,可川科技,57.73,2.41,85711,1.0
-6.14,-10.41,4.81,False,True,2,0.61,0.67,True,0,0,-8.88,-18.82,56.55,1.08,1.47,False,False,False,15.83,False,False,True,9,B+ 趋势偏多,"['均线发散(趋势加速)', '高低点持续抬升', 'ADX>50(极强趋势)', '回踩均线支撑']",sh603530,神马电力,47.11,2.93,61087,1.0
-13.29,9.21,3.82,True,False,2,0.5,0.67,False,0,0,-18.99,-33.64,30.95,0.97,0.7,True,False,False,14.69,False,False,True,3,D 趋势向下,"['MA60角度>5度', 'ADX>30(有趋势)', '回踩均线支撑', '30日下跌>10%', '均线收敛(关注变盘)']",sz002947,恒铭达,59.31,2.29,51551,1.0
